title,subtitle,date,location,image,button1_text,button1_link,button2_text,button2_link,button3_text,button3_link,expirationDate
Lietuvos jaunimo boulderingo taurė,1 etapas,2025.01.25,"Klaipėda, Scala dream",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/ljbt1_fb-cover-Y4LxyQLEpKUlk39e.jpg,Nuostatai,https://drive.google.com/file/d/19B-XY3JytktKFRM6KtvISGjLvEwrokna/view?usp=sharing,Rezultatai,https://climbalong.com,,,2025-02-01
Lietuvos boulderingo čempionatas,Trasos nuo 5a iki 8b,2025.02.07-08,"Vilnius, Bonobo",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/lbc_fb-cover-YNqP5kqXk7U0LBOV.jpg,Nuostatai,https://drive.google.com/file/d/1St7ocOIDos52vqnH42h9aC22J0t3Yb8z/view?usp=sharing,Rezultatai,https://climbalong.com/lt/competitions/280/info,,,2025-02-15
Lietuvos jaunimo boulderingo čempionatas,Atranka į jaunimo rinktinę,2025.03.01,"Kaunas, Boulder House",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/ljbc_fb-cover-YD0BOk0jVXTN80Vp.jpg,Nuostatai,https://drive.google.com/file/d/1bNTlpFEYToboQNNSX1JVKA_TeBwU6WKb/view?usp=sharing,Rezultatai,https://climbalong.com/competitions/281/info,,,2025-03-08
Lietuvos vaikų boulderingo taurė,1 etapas,2025.04.05,"Klaipėda, Klaipėdos kalnų sporto klubas",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/lvbt1_fb-cover-YanqW8n7PGTDMX90.jpg,Nuostatai,https://drive.google.com/file/d/1D7vPn3Y70_fHC7qjIovUW4UHDx12IKWD/view?usp=sharing,Rezultatai,https://climbalong.com/lt/competitions/282/info,,,2025-04-12
Laipiojimo specialistų kursai,1 lygis,2025.04.12,Vilnius,https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/image-2-d951pn3Kx1HybMOb.png,Registracija,https://bendruomene.laipiojimofederacija.lt/,Aprašas,https://drive.google.com/file/d/1AF-mCWumBJEBfQtPomBuQ3u8KVz4Gpb0/view,,,2025-04-19
Jaunimo rinktinės treniruočių stovykla,Pasiruošimas IFSC varžybų sezonui,2025.04.19,Vilnius,https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/image-1-AzGXrWv8j5UP3Ogd.png,Aprašas,https://drive.google.com/file/d/1HyyHe-PgALQxzfYF4xSOxNOPjwnoZlBy/view?usp=sharing,,,,,2025-04-26
Laipiojimo specialistų kursai,2 lygis,2025.04.26,Vilnius,https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/image-2-d951pn3Kx1HybMOb.png,Registracija,https://bendruomene.laipiojimofederacija.lt/,Aprašas,https://drive.google.com/file/d/1AF-mCWumBJEBfQtPomBuQ3u8KVz4Gpb0/view,,,2025-05-03
Laipiojimo specialistų kursai,"3 lygis, 1 dalis ir 2 dalis",2025.05.17 ir 2025.05.24,Vilnius,https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/image-2-d951pn3Kx1HybMOb.png,Registracija,https://bendruomene.laipiojimofederacija.lt/,Aprašas,https://drive.google.com/file/d/1AF-mCWumBJEBfQtPomBuQ3u8KVz4Gpb0/view,,,2025-05-31
Jaunimo rinktinės treniruočių stovykla,Pasiruošimas IFSC varžybų sezonui,2025.07.19-20,Kaunas,https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/image-1-AzGXrWv8j5UP3Ogd.png,Aprašas,https://drive.google.com/file/d/1MU-JSvLQpLifbe5H-ic3sdHVmeXG2UpU/view,,,,,2025-07-27
Lietuvos sudėtingojo lipimo disciplinos čempionatas,12 trasų nuo 5a iki 8b,2025.10.10-11,"Vilnius, Montis magia",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/lsc_fb-cover-AwvDQWvLjOFyN87W.jpg,,,,,,,2025-10-18
Lietuvos jaunimo boulderingo taurė,2 etapas,2025.10.18,"Vilnius, Vertical",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/ljbt2_fb-cover-Y4LxyQLEGrcK7704.jpg,,,,,,,2025-10-25
Lietuvos vaikų boulderingo taurė,2 etapas,2025.11.15,"Ukmergė, Kop Kop",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/lvbt2_fb-cover-mnlqNjlnvlCG4orv.png,,,,,,,2025-11-22
Lietuvos jaunimo boulderingo taurė,3 etapas,2025.11.29,"Klaipėda, Fabrique",https://assets.zyrosite.com/AVLB3j2NJ9iaw19Y/ljbt3_fb-cover-A1aBybag3vfzonLQ.jpg,,,,,,,2025-12-06